"Town","FIPS","Labor Market Area"
"Andover","0901301080","LMA Hartford"
"Ansonia","0900901220","LMA Bridgeport - Stamford"
"Ashford","0901501430","LMA Hartford"
"Avon","0900302060","LMA Hartford"
"Barkhamsted","0900502760","LMA Hartford"
"Beacon Falls","0900903250","LMA Waterbury"
"Berlin","0900304300","LMA Hartford"
"Bethany","0900904580","LMA New Haven"
"Bethel","0900104720","LMA Danbury"
"Bethlehem","0900504930","LMA Waterbury"
"Bloomfield","0900305910","LMA Hartford"
"Bolton","0901306260","LMA Hartford"
"Bozrah","0901106820","LMA Norwich - New London - Westerly"
"Branford","0900907310","LMA New Haven"
"Bridgeport","0900108070","LMA Bridgeport - Stamford"
"Bridgewater","0900508210","LMA Danbury"
"Bristol","0900308490","LMA Hartford"
"Brookfield","0900108980","LMA Danbury"
"Brooklyn","0901509190","LMA Danielson - Northeast"
"Burlington","0900310100","LMA Hartford"
"Canaan","0900510940","LMA Torrington - Northwest"
"Canterbury","0901512130","LMA Norwich - New London - Westerly"
"Canton","0900312270","LMA Hartford"
"Chaplin","0901513810","LMA Hartford"
"Cheshire","0900914160","LMA New Haven"
"Chester","0900714300","LMA New Haven"
"Clinton","0900715350","LMA New Haven"
"Colchester","0901115910","LMA Hartford"
"Colebrook","0900516050","LMA Torrington - Northwest"
"Columbia","0901316400","LMA Hartford"
"Cornwall","0900517240","LMA Torrington - Northwest"
"Coventry","0901317800","LMA Hartford"
"Cromwell","0900718080","LMA Hartford"
"Danbury","0900118500","LMA Danbury"
"Darien","0900118850","LMA Bridgeport - Stamford"
"Deep River","0900719130","LMA New Haven"
"Derby","0900919550","LMA Bridgeport - Stamford"
"Durham","0900720810","LMA New Haven"
"Eastford","0901521860","LMA Danielson - Northeast"
"East Granby","0900322070","LMA Hartford"
"East Haddam","0900722280","LMA Hartford"
"East Hampton","0900722490","LMA Hartford"
"East Hartford","0900322630","LMA Hartford"
"East Haven","0900922910","LMA New Haven"
"East Lyme","0901123400","LMA Norwich - New London - Westerly"
"Easton","0900123890","LMA Bridgeport - Stamford"
"East Windsor","0900324800","LMA Enfield"
"Ellington","0901325360","LMA Hartford"
"Enfield","0900325990","LMA Enfield"
"Essex","0900726270","LMA New Haven"
"Fairfield","0900126620","LMA Bridgeport - Stamford"
"Farmington","0900327600","LMA Hartford"
"Franklin","0901129910","LMA Norwich - New London - Westerly"
"Glastonbury","0900331240","LMA Hartford"
"Goshen","0900532290","LMA Torrington - Northwest"
"Granby","0900332640","LMA Hartford"
"Greenwich","0900133620","LMA Bridgeport - Stamford"
"Griswold","0901133900","LMA Norwich - New London - Westerly"
"Groton","0901134250","LMA Norwich - New London - Westerly"
"Guilford","0900934950","LMA New Haven"
"Haddam","0900735230","LMA Hartford"
"Hamden","0900935650","LMA New Haven"
"Hampton","0901536000","LMA Danielson - Northeast"
"Hartford","0900337070","LMA Hartford"
"Hartland","0900337140","LMA Hartford"
"Harwinton","0900537280","LMA Hartford"
"Hebron","0901337910","LMA Hartford"
"Kent","0900540290","LMA Torrington - Northwest"
"Killingly","0901540500","LMA Danielson - Northeast"
"Killingworth","0900740710","LMA New Haven"
"Lebanon","0901142390","LMA Hartford"
"Ledyard","0901142600","LMA Norwich - New London - Westerly"
"Lisbon","0901143230","LMA Norwich - New London - Westerly"
"Litchfield","0900543370","LMA Torrington - Northwest"
"Lyme","0901144210","LMA Norwich - New London - Westerly"
"Madison","0900944560","LMA New Haven"
"Manchester","0900344700","LMA Hartford"
"Mansfield","0901344910","LMA Hartford"
"Marlborough","0900345820","LMA Hartford"
"Meriden","0900946520","LMA New Haven"
"Middlebury","0900946940","LMA Waterbury"
"Middlefield","0900747080","LMA New Haven"
"Middletown","0900747360","LMA Hartford"
"Milford","0900947535","LMA Bridgeport - Stamford"
"Monroe","0900148620","LMA Bridgeport - Stamford"
"Montville","0901148900","LMA Norwich - New London - Westerly"
"Morris","0900549460","LMA Torrington - Northwest"
"Naugatuck","0900949950","LMA Waterbury"
"New Britain","0900350440","LMA Hartford"
"New Canaan","0900150580","LMA Bridgeport - Stamford"
"New Fairfield","0900150860","LMA Danbury"
"New Hartford","0900551350","LMA Hartford"
"New Haven","0900952070","LMA New Haven"
"Newington","0900352140","LMA Hartford"
"New London","0901152350","LMA Norwich - New London - Westerly"
"New Milford","0900552630","LMA Danbury"
"Newtown","0900152980","LMA Danbury"
"Norfolk","0900553470","LMA Torrington - Northwest"
"North Branford","0900953890","LMA New Haven"
"North Canaan","0900554030","LMA Torrington - Northwest"
"North Haven","0900954870","LMA New Haven"
"North Stonington","0901155500","LMA Norwich - New London - Westerly"
"Norwalk","0900156060","LMA Bridgeport - Stamford"
"Norwich","0901156270","LMA Norwich - New London - Westerly"
"Old Lyme","0901157040","LMA Norwich - New London - Westerly"
"Old Saybrook","0900757320","LMA New Haven"
"Orange","0900957600","LMA New Haven"
"Oxford","0900958300","LMA Bridgeport - Stamford"
"Plainfield","0901559980","LMA Danielson - Northeast"
"Plainville","0900360120","LMA Hartford"
"Plymouth","0900560750","LMA Hartford"
"Pomfret","0901561030","LMA Danielson - Northeast"
"Portland","0900761800","LMA Hartford"
"Preston","0901162150","LMA Norwich - New London - Westerly"
"Prospect","0900962290","LMA Waterbury"
"Putnam","0901562710","LMA Danielson - Northeast"
"Redding","0900163480","LMA Bridgeport - Stamford"
"Ridgefield","0900163970","LMA Bridgeport - Stamford"
"Rocky Hill","0900365370","LMA Hartford"
"Roxbury","0900565930","LMA Torrington - Northwest"
"Salem","0901166210","LMA Norwich - New London - Westerly"
"Salisbury","0900566420","LMA Torrington - Northwest"
"Scotland","0901567400","LMA Hartford"
"Seymour","0900967610","LMA Bridgeport - Stamford"
