"Town","FIPS","Labor Market Area"
"Sharon","0900567960","LMA Torrington - Northwest"
"Shelton","0900168170","LMA Bridgeport - Stamford"
"Sherman","0900168310","LMA Danbury"
"Simsbury","0900368940","LMA Hartford"
"Somers","0901369220","LMA Enfield"
"Southbury","0900969640","LMA Bridgeport - Stamford"
"Southington","0900370550","LMA Hartford"
"South Windsor","0900371390","LMA Hartford"
"Sprague","0901171670","LMA Norwich - New London - Westerly"
"Stafford","0901372090","LMA Hartford"
"Stamford","0900173070","LMA Bridgeport - Stamford"
"Sterling","0901573420","LMA Danielson - Northeast"
"Stonington","0901173770","LMA Norwich - New London - Westerly"
"Stratford","0900174190","LMA Bridgeport - Stamford"
"Suffield","0900374540","LMA Enfield"
"Thomaston","0900575730","LMA Hartford"
"Thompson","0901575870","LMA Danielson - Northeast"
"Tolland","0901376290","LMA Hartford"
"Torrington","0900576570","LMA Torrington - Northwest"
"Trumbull","0900177200","LMA Bridgeport - Stamford"
"Union","0901377830","LMA Hartford"
"Vernon","0901378250","LMA Hartford"
"Voluntown","0901178600","LMA Norwich - New London - Westerly"
"Wallingford","0900978740","LMA New Haven"
"Warren","0900579510","LMA Torrington - Northwest"
"Washington","0900579720","LMA Torrington - Northwest"
"Waterbury","0900980070","LMA Waterbury"
"Waterford","0901180280","LMA Norwich - New London - Westerly"
"Watertown","0900580490","LMA Waterbury"
"Westbrook","0900781680","LMA New Haven"
"West Hartford","0900382590","LMA Hartford"
"West Haven","0900982870","LMA New Haven"
"Weston","0900183430","LMA Bridgeport - Stamford"
"Westport","0900183500","LMA Bridgeport - Stamford"
"Wethersfield","0900384900","LMA Hartford"
"Willington","0901385950","LMA Hartford"
"Wilton","0900186370","LMA Bridgeport - Stamford"
"Winchester","0900586440","LMA Torrington - Northwest"
"Windham","0901586790","LMA Hartford"
"Windsor","0900387000","LMA Hartford"
"Windsor Locks","0900387070","LMA Enfield"
"Wolcott","0900987560","LMA Waterbury"
"Woodbridge","0900987700","LMA Bridgeport - Stamford"
"Woodbury","0900587910","LMA Waterbury"
"Woodstock","0901588190","LMA Danielson - Northeast"
